Id,Note,Name,Name_en,Name_ja,第 1 列,Description1,Description1_zh-Hant,Description1_en,Description1_ja,Description2,Description2_zh-Hant,Description2_en,Description2_ja,Level
Id,备注,名字,,,FALSE,<main>图鉴特性1</main>,,,,,,,,出没层数
10001,,普拉提黏黏,Platy Slime,プラティスライム,TRUE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<main>[Squad] A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,<title>果冻</title><main>弱小的低阶魔物，看起来很好吃</main>,<title>果凍</title><main>弱小的低階魔物，看起來很好吃</main>,<main>[Jelly] A weak low-level monster that looks tasty</main>,<title>ゼリー</title><main>弱い下級モンスターで、美味しそうに見える</main>,1
10002,,红心女仆,Fragile Heart,ハートのメイド,TRUE,<title>膨胀恶意</title><main>不断的变强</main>,<title>膨脹惡意</title><main>會持續變強</main>,<main>[Growing Malice] Grows stronger over time</main>,<title>膨張する悪意</title><main>時間と共に強くなる</main>,,,,,2
10003,,鼹鼠,Mole,モグラ,TRUE,<title>谋财为先</title><main>能够偷取金币</main>,<title>谋财为先</title><main>能够偷取金币</main>,<title>谋财为先</title><main>[Untranslated] 能够偷取金币</main>,<title>谋财为先</title><main>能够偷取金币</main>,<title>走为上计</title><main>收获足够战利品或者生命低下时会逃跑</main>,<title>走為上計</title><main>獲得足夠戰利品或生命值過低時會逃跑</main>,<main>[Run Away] Flees when it has enough loot or low HP</main>,<title>逃げるが勝ち</title><main>戦利品が十分あるか体力が低い時に逃げる</main>,1
10004,,灾厄先兆,The Greedy,災厄の前兆,TRUE,<title>灾厄一角</title><main>最为温和的一种灾厄</main>,<title>災厄一角</title><main>最溫和的一種災厄</main>,<main>[Disaster Fragment] The mildest type of calamity</main>,<title>災厄の一部</title><main>最も穏やかな災厄の形</main>,,,,,1
10005,,猎食者,Unknown Mollusk,捕食者,TRUE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<main>[Squad] A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,,,,,1
10006,,垂涎,Drooling Beast,垂涎,FALSE,<title>侵蚀护盾</title><main>能够清除魔女的护盾</main>,<title>侵蝕護盾</title><main>能夠解除魔女的護盾</main>,<main>[Corrosive Shield] Can remove the witch's shield</main>,<title>浸食シールド</title><main>魔女のシールドを消すことができる</main>,,,,,1
10007,,失心魔女,Mindless Witch,心を失った魔女,TRUE,<title>魔女躯壳</title><main>复制魔女的属性</main>,<title>魔女軀殼</title><main>複製魔女的屬性</main>,<main>[Witch's Shell] Copies the witch's attributes</main>,<title>魔女の殻</title><main>魔女の特性をコピーする</main>,,,,,2
10008,,最后一餐,Last Supper,最後の晩餐,FALSE,<title>侵蚀护盾</title><main>能够清除魔女的护盾</main>,<title>侵蝕護盾</title><main>能夠解除魔女的護盾</main>,<main>[Corrosive Shield] Can remove the witch's shield</main>,<title>浸食シールド</title><main>魔女のシールドを消すことができる</main>,,,,,1
10009,,梅花侍从,Club Servant,クラブの従者,TRUE,<title>永生者</title><main>难以被杀死</main>,<title>永生者</title><main>難以被殺死</main>,<main>[Immortal] Hard to kill</main>,<title>不死者</title><main>倒しにくい</main>,<title>勇者剑道</title><main>使用反击作为攻击手段</main>,<title>勇者劍道</title><main>以反擊作為攻擊手段</main>,<main>[Heroic Swordsmanship] Uses counterattacks as offense</main>,<title>勇者の剣術</title><main>反撃を攻撃手段として使う</main>,2
10010,,深渊之触,Abyssal Touch,深淵の触手,TRUE,<title>渐入佳境</title><main>能够强化自身</main>,<title>渐入佳境</title><main>能够强化自身</main>,<title>渐入佳境</title><main>[Untranslated] 能够强化自身</main>,<title>渐入佳境</title><main>能够强化自身</main>,<title>思维操纵</title><main>能够使魔女弃牌</main>,<title>思維操縱</title><main>能讓魔女棄牌</main>,<main>[Mind Control] Forces the witch to discard cards</main>,<title>思考操縦</title><main>魔女に捨て札を強いることができる</main>,1
10011,,堕落光之使者,Fallen Light Bearer,堕落した光の使者,FALSE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<main>[Squad] A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,,,,,1
10012,,荒野拳击手,Wasteland Boxer,荒野のボクサー,FALSE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<main>[Squad] A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,,,,,2
10013,,饿殍,Starving Wretch,餓えし者,FALSE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<main>[Squad] A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,,,,,1
10014,,幽怨之心,Resentful Heart,怨念の心臓,FALSE,<title>摇篮</title><main>能够削弱魔女的伤害</main>,<title>搖籃</title><main>能夠削弱魔女的傷害</main>,<main>[Cradle] Reduces the witch's damage</main>,<title>ゆりかご</title><main>魔女のダメージを弱める</main>,,,,,1
10015,,腐化巨蜥,Corrupted Giant Lizard,腐敗した巨大トカゲ,TRUE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<main>[Squad] A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,<title>负伤</title><main>战斗会自带流血</main>,<title>負傷</title><main>戰鬥時會自帶流血效果</main>,<main>[Wounded] Comes with bleeding in combat</main>,<title>負傷</title><main>戦闘時に出血効果を伴う</main>,1
10016,,混血狼裔,Half-Blood Wolf,混血の狼,TRUE,<title>膨胀恶意</title><main>不断的变强</main>,<title>膨脹惡意</title><main>會持續變強</main>,<main>[Growing Malice] Grows stronger over time</main>,<title>膨張する悪意</title><main>時間と共に強くなる</main>,,,,,1
10017,,T-307铁盒,T-307 Iron Box,T-307 鉄の箱,FALSE,<title>外壳</title><main>抵御更多伤害</main>,<title>外殼</title><main>抵擋更多傷害</main>,<main>[Shell] Provides extra damage resistance</main>,<title>殻</title><main>より多くのダメージを防ぐ</main>,,,,,2
10018,,惊喜礼物盒,Surprise Gift Box,サプライズギフトボックス,TRUE,<title>生存挑战</title><main>提前杀死他的话需要接受惩罚</main>,<title>生存挑戰</title><main>若提前擊殺會受到懲罰</main>,<main>[Survival Challenge] Punished if killed early</main>,<title>サバイバルチャレンジ</title><main>早く倒すと罰を受ける</main>,,,,,2
10019,,莉莉,One-Eye,木偶,FALSE,<title>控制者</title><main>能够使魔女暂时停止行动</main>,<title>控制者</title><main>能使魔女暫停行動</main>,<main>[Controller] Can temporarily stop the witch's actions</main>,<title>コントローラー</title><main>魔女の行動を一時停止させる</main>,,,,,2
10020,,灾厄预演,Bizarre Bug,災厄の予行演習,TRUE,<title>守御加护</title><main>短时间内受到的伤害存在上限</main>,<title>守護加護</title><main>短時間內所受傷害有上限</main>,<main>[Guarded Blessing] Damage taken is capped for a short time</main>,<title>守護の加護</title><main>短時間ダメージに上限がある</main>,<title>复合异常</title><main>使用带有中毒或灼烧的攻击</main>,<title>複合異常</title><main>使用帶有中毒或灼燒的攻擊</main>,<main>[Compound Ailments] Uses attacks that inflict poison or burn</main>,<title>複合異常</title><main>毒や火傷を与える攻撃を使用する</main>,2
10021,,腐化主教,Corrupted Bishop,腐敗した主教,FALSE,<title>深渊祷告</title><main>能够清除魔女的强化效果</main>,<title>深渊祷告</title><main>能够清除魔女的强化效果</main>,<title>深渊祷告</title><main>[Untranslated] 能够清除魔女的强化效果</main>,<title>深渊祷告</title><main>能够清除魔女的强化效果</main>,<title>恩赐祷告</title><main>能够清除自身的负面效果</main>,<title>恩賜祈禱</title><main>能夠解除自身的負面效果</main>,<main>[Blessed Prayer] Can clear its own negative statuses</main>,<title>恩寵の祈り</title><main>自身のデバフを解除できる</main>,1
10022,,普拉提之王,Platy King,プラティの王,TRUE,<title>军队</title><main>不击败源头的话，就会有源源不断的敌人</main>,<title>军队</title><main>不击败源头的话，就会有源源不断的敌人</main>,<title>军队</title><main>[Untranslated] 不击败源头的话，就会有源源不断的敌人</main>,<title>军队</title><main>不击败源头的话，就会有源源不断的敌人</main>,,,,,1
10023,,普拉提壮壮,Platy Bruiser,プラティ・ブルーザー,TRUE,<title>军队</title><main>不击败源头的话，就会有源源不断的敌人</main>,<title>军队</title><main>不击败源头的话，就会有源源不断的敌人</main>,<title>军队</title><main>[Untranslated] 不击败源头的话，就会有源源不断的敌人</main>,<title>军队</title><main>不击败源头的话，就会有源源不断的敌人</main>,,,,,1
10024,,腐化圣骑,Corrupted Paladin,腐敗した聖騎士,TRUE,<title>演化加护</title><main>受到攻击后变得更加难以击破</main>,<title>演化加护</title><main>受到攻击后变得更加难以击破</main>,<title>演化加护</title><main>[Untranslated] 受到攻击后变得更加难以击破</main>,<title>演化加护</title><main>受到攻击后变得更加难以击破</main>,<title>复合异常</title><main>使用带有中毒或灼烧的攻击</main>,<title>複合異常</title><main>使用帶有中毒或灼燒的攻擊</main>,<main>[Compound Ailments] Uses attacks that inflict poison or burn</main>,<title>複合異常</title><main>毒や火傷を与える攻撃を使用する</main>,2
10025,,腐化蛛人,Swamp Touch,腐敗した蜘蛛人,TRUE,<title>毒蛇之吻</title><main>会使用能让魔女中毒的攻击</main>,<title>毒蛇之吻</title><main>会使用能让魔女中毒的攻击</main>,<title>毒蛇之吻</title><main>[Untranslated] 会使用能让魔女中毒的攻击</main>,<title>毒蛇之吻</title><main>会使用能让魔女中毒的攻击</main>,,,,,1
10026,,灾厄预演,Calamity Rehearsal,災厄の予行演習,TRUE,<title>毒蛇之吻</title><main>会使用能让魔女中毒的攻击</main>,<title>毒蛇之吻</title><main>会使用能让魔女中毒的攻击</main>,<title>毒蛇之吻</title><main>[Untranslated] 会使用能让魔女中毒的攻击</main>,<title>毒蛇之吻</title><main>会使用能让魔女中毒的攻击</main>,,,,,2
99999,,测试者,Tester,テスター,FALSE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<main>[Squad] A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,,,,,1
10027,,永夜化身,Avatar of Eternal Night,常闇の化身,TRUE,<title>骰子</title><main>意图带有随机检定</main>,<title>骰子</title><main>意图带有随机检定</main>,<title>骰子</title><main>[Untranslated] 意图带有随机检定</main>,<title>骰子</title><main>意图带有随机检定</main>,,,,,3
10028,,方片舞者,Diamond Dancer,ダイヤの踊り子,TRUE,<title>酌定审判</title><main>依据魔女的手牌数给予伤害</main>,<title>酌定审判</title><main>依据魔女的手牌数给予伤害</main>,<title>酌定审判</title><main>[Untranslated] 依据魔女的手牌数给予伤害</main>,<title>酌定审判</title><main>依据魔女的手牌数给予伤害</main>,,,,,2
10029,,暴怒残片,Fragment of Wrath	,憤怒の破片,TRUE,<title>战术小队</title><main>多个不同职能的敌人组合</main>,<title>战术小队</title><main>多个不同职能的敌人组合</main>,<title>战术小队</title><main>[Untranslated] 多个不同职能的敌人组合</main>,<title>战术小队</title><main>多个不同职能的敌人组合</main>,,,,,2
10030,,深渊骑士,Abyssal Knight,深淵の騎士,FALSE,<title>未知</title><main>不可知其名</main>,<title>未知</title><main>不可知其名</main>,<title>未知</title><main>[Untranslated] 不可知其名</main>,<title>未知</title><main>不可知其名</main>,,,,,3
10031,,魔械,Demon Machine,魔械,FALSE,<title>未知</title><main>不可知其名</main>,<title>未知</title><main>不可知其名</main>,<title>未知</title><main>[Untranslated] 不可知其名</main>,<title>未知</title><main>不可知其名</main>,,,,,3
10032,,魅魔,Succubus,サキュバス,FALSE,<title>未知</title><main>不可知其名</main>,<title>未知</title><main>不可知其名</main>,<title>未知</title><main>[Untranslated] 不可知其名</main>,<title>未知</title><main>不可知其名</main>,,,,,3
10033,,熔火圣骸,Molten Sacred Machine,溶融聖械,TRUE,<title>强制燃烬</title><main>能够燃烬魔女的行动牌</main>,<title>强制燃烬</title><main>能够燃烬魔女的行动牌</main>,<title>强制燃烬</title><main>[Untranslated] 能够燃烬魔女的行动牌</main>,<title>强制燃烬</title><main>能够燃烬魔女的行动牌</main>,,,,,1
10034,,自动机关人偶,Automaton Puppet,自動人形,TRUE,<title>骰子</title><main>意图带有随机检定</main>,<title>骰子</title><main>意图带有随机检定</main>,<title>骰子</title><main>[Untranslated] 意图带有随机检定</main>,<title>骰子</title><main>意图带有随机检定</main>,,,,,2
10035,,老A,Old Ace,エース,TRUE,<title>意念侵蚀</title><main>给予魔女诅咒牌</main>,<title>意念侵蚀</title><main>给予魔女诅咒牌</main>,<title>意念侵蚀</title><main>[Untranslated] 给予魔女诅咒牌</main>,<title>意念侵蚀</title><main>给予魔女诅咒牌</main>,,,,,2
10036,,鬼牌:小王,Joker: Black,ジョーカー：黒,TRUE,<title>连体同心</title><main>同心的敌人死亡时，强化另一方</main>,<title>连体同心</title><main>同心的敌人死亡时，强化另一方</main>,<title>连体同心</title><main>[Untranslated] 同心的敌人死亡时，强化另一方</main>,<title>连体同心</title><main>同心的敌人死亡时，强化另一方</main>,,,,,2
10037,,鬼牌:小王,Joker: Red,ジョーカー：赤,TRUE,<title>连体同心</title><main>同心的敌人死亡时，强化另一方</main>,<title>连体同心</title><main>同心的敌人死亡时，强化另一方</main>,<title>连体同心</title><main>[Untranslated] 同心的敌人死亡时，强化另一方</main>,<title>连体同心</title><main>同心的敌人死亡时，强化另一方</main>,,,,,2
10038,,灾厄祭司,Calamity Priest,災厄の司祭,TRUE,<title>巫术</title><main>魔女多次打出行动牌时会被重置手牌</main>,<title>巫术</title><main>魔女多次打出行动牌时会被重置手牌</main>,<title>巫术</title><main>[Untranslated] 魔女多次打出行动牌时会被重置手牌</main>,<title>巫术</title><main>魔女多次打出行动牌时会被重置手牌</main>,,,,,2
10039,,黑桃骑士,Spade Knight,スペードの騎士,TRUE,<title>血流成河</title><main>使用能触发流血的攻击手段</main>,<title>血流成河</title><main>使用會造成流血的攻擊手段</main>,<main>[Rivers of Blood] Uses attacks that cause bleeding</main>,<title>血の川</title><main>出血を引き起こす攻撃を使用する</main>,,,,,2
10040,,魔女教教徒,Omniscient Sage,魔女教の教徒,TRUE,<title>教徒百宝箱</title><main>随机给自己抽取状态</main>,<title>教徒百寶箱</title><main>隨機給自己抽取狀態</main>,<main>[Cultist's Chest] Randomly draws a status for itself</main>,<title>信者の宝箱</title><main>ランダムで自身に状態を付与する</main>,,,,,0
10041,,天眷者,Heaven's Chosen,天眷者,TRUE,<title>伪  天界加护</title><main>随着战斗会不断提高生命恢复</main>,<title>伪 天界加护</title><main>随着战斗会不断提高生命恢复</main>,<title>伪 天界加护</title><main>[Untranslated] 随着战斗会不断提高生命恢复</main>,<title>伪 天界加护</title><main>随着战斗会不断提高生命恢复</main>,,,,,0
10042,,吞金兽,Fortune Bearer,金を呑む獣,TRUE,<title>小金库</title><main>被打就爆金币</main>,<title>小金庫</title><main>被打會爆出金幣</main>,<main>[Mini Vault] Drops coins when hit</main>,<title>小金庫</title><main>攻撃されるとコインを落とす</main>,,,,,0
10043,,活性晶簇,Active crystal clusters,活性晶簇,TRUE,<title>储能库</title><main>被打爆魔能或行动牌</main>,<title>儲能庫</title><main>被打會爆出魔能或行動牌</main>,"<main>[Energy Storage] When destroyed, releases mana or action cards</main>",<title>蓄電庫</title><main>壊されると魔力や行動カードを放出する</main>,,,,,0
10044,,操偶师,Puppet Master,人形遣い,TRUE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<main>[Squad] A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,<title>唤醒</title><main>一只正在沉睡的巨大玩偶熊</main>,<title>喚醒</title><main>一隻正在沉睡的巨大玩偶熊</main>,<main>[Awakening] A giant teddy bear that is asleep</main>,<title>覚醒</title><main>眠っている巨大なぬいぐるみの熊</main>,2
10045,,巨大玩偶熊,Giant Doll Bear,巨大なぬいぐるみ熊,FALSE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<main>[Squad] A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,<title>唤醒</title><main>一只正在沉睡的巨大玩偶熊</main>,<title>喚醒</title><main>一隻正在沉睡的巨大玩偶熊</main>,<main>[Awakening] A giant teddy bear that is asleep</main>,<title>覚醒</title><main>眠っている巨大なぬいぐるみの熊</main>,2
10046,,恐惧残片,Fragment of Fear,恐怖の破片,FALSE,<title>战术小队</title><main>多个不同职能的敌人组合</main>,<title>战术小队</title><main>多个不同职能的敌人组合</main>,<title>战术小队</title><main>[Untranslated] 多个不同职能的敌人组合</main>,<title>战术小队</title><main>多个不同职能的敌人组合</main>,,,,,2
10047,,怠惰残片,Fragment of Sloth,怠惰の破片,FALSE,<title>战术小队</title><main>多个不同职能的敌人组合</main>,<title>战术小队</title><main>多个不同职能的敌人组合</main>,<title>战术小队</title><main>[Untranslated] 多个不同职能的敌人组合</main>,<title>战术小队</title><main>多个不同职能的敌人组合</main>,,,,,2
