Id,Note,Name,Name_en,Name_ja,TotalDescribe,TotalDescribe_en,TotalDescribe_ja,1Describe,1Describe_en,1Describe_ja,2Describe,2Describe_en,2Describe_ja,3Describe,3Describe_en,3Describe_ja,4Describe,4_Describe_en,4Describe_ja,CompareUse_ja,CompareUse_en,CompareUse
9,,粉色传单,Pink Flyer_1,ピンクのチラシ,"<main>  一张粉色的传单，被大咧咧的贴在城镇外的大树上——很难想象贴广告的人出于一种什么样的心态才会认为这里是合适的营销地点
走近看上面的内容：海报上画着一个身着性感透明纱裙和三点式泳衣的白发女人，她此时正戴着盖住半张面孔的硕大法师帽看向你。下书大字：“魔女小姐的课外辅导，精进异族语言的最佳选择，授课地址：……”</main>
<tip=exclaim>这辅导正经吗？</tip>
<subtip>  理性与感性的无休止斗争</subtip>","<main>  This is a pink flyer, boldly posted on a big tree outside the town—it's hard to imagine what kind of mindset would consider this a good marketing spot.
Looking closer: the poster shows a white-haired woman in a sexy sheer dress and bikini, wearing a huge wizard hat that covers half her face, looking at you. Large text reads: “ Miss Witch's After-School Tutoring, the best choice for improving your foreign language skills , class location: ...”</main>
<tip=exclaim>Is this tutoring legit?</tip>
<subtip>  An endless struggle between reason and emotion</subtip>","<main>  ピンク色のチラシが、町の外れの大木に大胆に貼られている――広告を貼った人間が、ここが適切なマーケティング場所だと考えた精神状態は想像しがたい。
近づいて内容を見る：ポスターにはセクシーな透けるドレスとビキニ姿の白髪の女性が描かれ、顔の半分を覆う巨大な魔術師の帽子を被ってこちらを見ている。下には大きな文字で：「魔女様のアフタースクール、異種族言語上達の最適解、授業場所：……」</main>
<tip=exclaim>この個人指導はまともなのか？</tip>
<subtip>  理性と感情の終わりのない戦い</subtip>","<main>  前往授课地点</main>
<add>我喜欢外语！</add>
<subtip>  前往小树林</subtip>","<main>  Go to the teaching spot</main>
<add>I love foreign languages!</add>
<subtip>  Go to the grove</subtip>","<main>  授業場所へ向かう</main>
<add>外国語は大好き！</add>
<subtip>  木立へ向かう</subtip>","<main>  下次不要再把广告贴在这种诡异的地方了</main>
<add>到底谁想的？</add>
<subtip>  感知+3</subtip>","<main>  Don't ever post ads in such creepy places next time.</main>
<add>Whose idea was this?</add>
<subtip>  Perception +3.</subtip>","<main>  二度とこんな不気味な場所に広告を貼らないで</main>
<add>一体誰の仕業？</add>
<subtip>  感知+3</subtip>",,,,,,,,,
Sub_9_2,,粉色传单_1,Pink Flyer_1,ピンクのチラシ,"<main>  你来到了传单上提示的地址，这是一处密林深处的空地，正疑惑这里为什么一个人也没有时，脚下一沉——你勉强用魔力协调住了身体让自己安稳落地而不至于摔伤，此时抬头向上看去，你已经来到了深入地底五米以上的地穴内，一群人围拢了过来，正从洞穴口向下看向你</main>
<tip=exclaim>我就知道会变成这样</tip>
<subtip>  但你们未免太小瞧我了</subtip>","<main>  You arrive at the address on the flyer, a clearing deep in the forest. Wondering why no one is here, the ground suddenly gives way—you barely use magic to steady yourself and land safely. Looking up, you find yourself more than five meters underground in a cavern, surrounded by people peering down at you from the cave entrance.</main>
<tip=exclaim>I knew it would turn out like this</tip>
<subtip>  But you all underestimate me</subtip>","<main>  チラシに書かれた住所に到着した。そこは密林の奥深くにある空き地だ。誰もいないことを不思議に思っていると、足元が沈んだ――かろうじて魔力で体を安定させ、怪我なく着地できた。見上げると、あなたは地下5メートル以上の洞窟の中にいて、大勢の人々が洞窟の入り口からあなたを見下ろしている。</main>
<tip=exclaim>こうなることは分かっていた</tip>
<subtip>  だが、私を甘く見すぎだ</subtip>","<main>  事到如今，唯有……</main>
<add>鲨！</add>
<subtip>  遭遇一场困难的战斗</subtip>","<main>  At this point, only...</main>
<add>Shark!</add>
<subtip>  Encounter a difficult battle</subtip>","<main>  こうなったからには、ただ……</main>
<add>殺！</add>
<subtip>  困難な戦闘に遭遇する</subtip>",,,,,,,,,,,,
10,,死亡轮盘,Death Roulette,死のルーレット,"<main>  这是一种古老的游戏，一把致命的投射器武器对着脑袋，两个人轮流扣动机关，先击发的人结束游戏也结束自己的人生
现代的工艺经过了改良，现在庄家只负责给出奖励，那把投射器将永远只指向你的脑袋</main>
<tip=exclaim>显而易见的危险</tip>
<subtip>  每次扣动机关都有更高收益</subtip>","<main>  This is an ancient game: a deadly projectile weapon pointed at your head, two people take turns pulling the trigger, and the first to fire ends both the game and their life.
Modern craftsmanship has improved it; now the dealer only gives out rewards, and the weapon will always be pointed at your head.</main>
<tip=exclaim>Obvious danger</tip>
<subtip>  Each pull of the trigger brings higher rewards</subtip>","<main>  これは古のゲームだ。致命的な射出武器を頭に向け、二人が交互に引き金を引く。先に発射した者がゲームを、そして自らの人生を終わらせる。
現代の技術で改良され、今やディーラーは報酬を渡すだけで、その武器は常にあなたの頭に向けられている。</main>
<tip=exclaim>明らかな危険</tip>
<subtip>  引き金を引くたびに、より高い報酬が得られる</subtip>","<main>  扣动机关（若击发，魔女血量变成1）</main>
<add>富贵险中求</add>
<subtip>  未击中时，前2次依次获得40,80金币，第3,4,5次赠予随机遗物和100金币</subtip>","<main>  Pull the trigger (if hit, Brings your HP to 1)</main>
<add>Fortune lies in risk</add>
<subtip>  If no hit, get 40, 80, 120 golds for first 3 times, 4th and 5th get random relics and 100 golds</subtip>","<main>  引き金を引く（発射された場合、魔女のHPは1になる）</main>
<add>富は危険の中にあり</add>
<subtip>  不発の場合、最初の2回は40、80ゴールドを、3、4、5回目はランダムな遺物と100ゴールドを獲得する</subtip>","<main>  这并不是一场公平的游戏</main>
<add></add>
<subtip>  离开</subtip>","<main>  This is not a fair game</main>
<add></add>
<subtip>  Leave</subtip>","<main>  これは公平なゲームではない</main>
<add></add>
<subtip>  立ち去る</subtip>","<main>  我的命更值钱</main>
<add></add>
<subtip>  </subtip>","<main>  My life is worth more</main>
<add></add>
<subtip>  </subtip>","<main>  私の命の方が価値がある</main>
<add></add>
<subtip>  立ち去る</subtip>",,,,"<good>  没打中</good>
<bad>  愿赌服输</bad>","<good>  没打中</good>
<bad>  愿赌服输</bad>","<good>  没打中</good>
<bad>  愿赌服输</bad>"
11,,小克莉斯娜,Little Krisna,小さなクリスナ,"<main>  一台由克莉斯娜研发的模拟主天使：“小克莉斯娜”，这只小小的模拟机还有待发育
完全无论你是要表达善意还是想诱导她往你期望的方向发展，现在都是最佳的时机</main>
<tip=exclaim>但也有可能被诱导的是你自己</tip>
<subtip>  点我开始聊天</subtip>","<main>  A simulated main angel developed by Krisna: “Little Krisna.” This little simulator is still growing.
Whether you want to show kindness or guide her in your desired direction, now is the best time.</main>
<tip=exclaim>But you might be the one getting guided</tip>
<subtip>  Click me to start chatting</subtip>","<main>  クリスナが開発した模擬主天使：「小さなクリスナ」。この小さなシミュレーターはまだ成長途中だ。
善意を示したいのであれ、望む方向に誘導したいのであれ、今が絶好の機会だ。</main>
<tip=exclaim>だが、誘導されるのはあなた自身かもしれない</tip>
<subtip>  クリックしてチャット開始</subtip>","<main>  生存还是死亡？</main>
<add>谈点哲学</add>
<subtip>  每次对话精神和感知-1，魔力+2</subtip>","<main>  Survive or death?</main>
<add>Let's talk philosophy</add>
<subtip>  Each chat: Spirit/Perception -1, Magic +2</subtip>","<main>  生きるべきか、死ぬべきか？</main>
<add>哲学を語る</add>
<subtip>  会話ごと：精神と感知-1、魔力+2</subtip>","<main>  重生之我在异世界做魔女</main>
<add>讲讲爽文</add>
<subtip>  每次对话感知和幸运-1，精神+2</subtip>","<main>  Reborn as a witch in another world</main>
<add> Let's talk about ""feel-good"" novels</add>
<subtip>  Each chat: Luck /Perception -1, Sprite+2</subtip>","<main>  転生したら異世界で魔女だった件</main>
<add>なろう小説を語る</add>
<subtip>  会話ごと：感知と幸運-1、精神+2</subtip>","<main>  有洞不见虫 - 猜一植物</main>
<add>猜一植物</add>
<subtip>  每次对话魔力和幸运-1，感知+2</subtip>","<main>  There are holes and no insects - guess a plant</main>
<add>Guess a plant</add>
<subtip>  Each chat: Magic/Luck-1, Perception +2</subtip>","<main>  穴あれど虫見えず - ある植物を当てて</main>
<add>植物当てクイズ</add>
<subtip>  会話ごと：魔力と幸運-1、感知+2</subtip>",<main>  溜了溜了</main>,<main>  I'm off now</main>,<main>  もう行くわ</main>,,,
12,,通关秘籍,Clearance Guide,攻略の裏技,"<main>  这是一则通告，由你的帽子代为传达：即日起天界将向所有魔女开放一项特殊服务，以便更好的支援魔女们在前线的活动主天使将为魔女们提供不限量的知识以及祝福</main>
<tip=exclaim>那么，代价是什么呢？</tip>
<subtip>  市场经济</subtip>","<main>  This is a notice, delivered by your hat: From now on, Heaven will offer a special service to all witches to better support their frontline activities. The main angel will provide unlimited knowledge and blessings to witches.</main>
<tip=exclaim>So, what's the price?</tip>
<subtip>  Market economy</subtip>","<main>  これはあなたへの通達です。あなたの帽子が代読します：本日より、天界は全ての魔女に対し、前線での活動をより良く支援するための特別サービスを開始します。主天使は魔女たちに無限の知識と祝福を提供します。</main>
<tip=exclaim>では、代償は？</tip>
<subtip>  市場経済</subtip>","<main>  用金币交换知识</main>
<add></add>
<subtip>  金币-20，获得随机卡牌</subtip>","<main>  Exchange knowledge with gold</main>
<add></add>
<subtip>  money - 20, gain a random card</subtip>","<main>  ゴールドで知識と交換する</main>
<add></add>
<subtip>  ゴールド-20、ランダムなカードを1枚獲得</subtip>","<main>  用真理之晶交换启示</main>
<add></add>
<subtip>  真理之晶-5，获得随机祝福</subtip>","<main>  Exchange revelation with Truth Crystals</main>
<add></add>
<subtip>  Crystal of Truth-5, gain a random blessing</subtip>","<main>  真理の結晶で啓示と交換する</main>
<add></add>
<subtip>  真理の結晶-5、ランダムな祝福を1つ獲得</subtip>","<main>  离开</main>
<add>不用轮椅</add>
<subtip>  最强的魔女不需要秘籍！</subtip>","<main>  Leave</main>
<add>No need for a wheelchair</add>
<subtip>  The strongest witch needs no cheat code!</subtip>","<main>  立ち去る</main>
<add>車椅子は不要</add>
<subtip>  最強の魔女に裏技は必要ない！</subtip>",,,,,,
13,,模拟考核,Simulation Test,模擬試験,"<main>  就和所有公司员工一样，魔女们作为“天界无限责任公司”也有定期的绩效考核，不过在这个循环的模拟世界里，考核也换了形式
它仅用于检测魔女的状态和能力，剔除了无意义的风险</main>
<tip=exclaim>赢了有奖励，输了没惩罚，吗？</tip>
<subtip>  没理由不试一下</subtip>","<main>  Just like all company employees, witches as part of the “Heaven Unlimited Liability Company” also have regular performance reviews. But in this cyclical simulation world, the reviews have changed form.
They only test the witch's status and abilities, removing meaningless risks.</main>
<tip=exclaim>Win and get rewards, lose and no punishment, right?</tip>
<subtip>  No reason not to try</subtip>","<main>  全ての会社員と同様に、「天界無限責任会社」の一員である魔女たちにも定期的な業績評価がある。しかし、この循環するシミュレーション世界では、評価の形式も変わっている。
それは魔女の状態と能力を測定するためだけのもので、無意味なリスクは排除されている。</main>
<tip=exclaim>勝てば報酬、負けても罰なし、だよね？</tip>
<subtip>  試さない理由はない</subtip>","<main>  参与模拟</main>
<add>让我康康</add>
<subtip>  进入一场有额外奖励的模拟战斗</subtip>","<main>  Participate in simulation</main>
<add>Let me see</add>
<subtip>  Enter a simulated battle with extra rewards</subtip>","<main>  シミュレーションに参加する</main>
<add>見せてみろ</add>
<subtip>  追加報酬のある模擬戦闘に入る</subtip>","<main>  这次算了吧</main>
<add></add>
<subtip>  结束事件</subtip>","<main>  Skip this time</main>
<add></add>
<subtip>  End event</subtip>","<main>  今回はやめておく</main>
<add></add>
<subtip>  イベントを終了する</subtip>",,,,,,,,,
14,,天使盲盒,Angel Blind Box,天使のブラインドボックス,"<main>  天界最近流行的盲盒商品，往机器里投币（也支持生命支付）就能收获一堆包装精美的小盒子
购买盲盒也不完全是为了里面的东西，拆包装的仪式感也是很多人给它刷销量的理由</main>
<tip=exclaim>如果你抽过盲盒就该知道这个东西的性价比了</tip>
<subtip>  说不定就中了呢？</subtip>","<main>  The latest popular blind box product in Heaven: insert coins (or pay with life) into the machine to get a bunch of beautifully packaged little boxes.
Buying blind boxes isn't just for what's inside; the ritual of unboxing is why many people keep buying them.</main>
<tip=exclaim>If you've ever drawn a blind box, you know its value for money</tip>
<subtip>  Maybe you'll hit the jackpot?</subtip>","<main>  天界で最近流行しているブラインドボックス商品。機械にコインを入れる（生命での支払いも可）と、美しく包装された小さな箱がたくさん手に入る。
ブラインドボックスを買うのは中身のためだけではない。開封する儀式感も、多くの人がこれを買い続ける理由だ。</main>
<tip=exclaim>ブラインドボックスを引いたことがあるなら、この商品のコストパフォーマンスは分かるはず</tip>
<subtip>  もしかしたら大当たりかも？</subtip>","<main>  金币盲盒</main>
<add>中！</add>
<subtip>  金币+120</subtip>","<main>  Coin blind box</main>
<add>Win!</add>
<subtip>  golds+120</subtip>","<main>  ゴールドのブラインドボックス</main>
<add>当たり！</add>
<subtip>  ゴールド+120</subtip>","<main>  生命盲盒</main>
<add>中！</add>
<subtip>  最大生命值+10</subtip>","<main>  Health blind box</main>
<add>Win!</add>
<subtip>  MaxHp+10</subtip>","<main>  生命のブラインドボックス</main>
<add>当たり！</add>
<subtip>  最大HP+10</subtip>",,,,,,,,,
*15,,提前结算,Early Settlement,早期精算,"<main>  “小姐，告诉你一个好消息”你的帽子开口了“
应天界驻奥尔德林办事处的要求，积极响应关于“更快、更好推进终末计划”政策号召，现允许工龄超过五年，符合条件的魔女，在所携随从的协同下，依法依规、有序办理关于魔法器械，知识技术的结算业务。”
“简单来说就是”帽子顿了顿：“您可以提前拿到自己的那一份了。”</main>
<tip=exclaim>从天而降的大饼</tip>
<subtip>  没见过哪个公司会提前发工资的</subtip>","<main>  ""Miss, I have good news for you,"" your hat says.
At the request of Heaven's Aldrin office, in response to the policy of ""faster and better advancement of the End Plan,"" witches with more than five years of service and who meet the requirements may now, with the help of their followers, lawfully and orderly settle accounts for magical equipment and knowledge technology.
""In short,"" the hat pauses, ""you can get your share in advance.""</main>
<tip=exclaim>A windfall from the sky</tip>
<subtip>  Never seen a company pay wages in advance</subtip>","<main>  「お嬢さん、良い知らせがあります」あなたの帽子が口を開いた。
「天界オルドリン駐在事務所の要請に応じ、『終末計画のより迅速かつ優れた推進』に関する政策を積極的に推進するため、勤続5年以上の条件を満たす魔女は、従者の協力のもと、法規に基づき、秩序だって魔法器機、知識技術に関する精算業務を辦理することが許可されます」
「簡単に言うと」帽子は一呼吸おいて言った。「あなたは自分の分け前を前倒しで受け取れるということです」</main>
<tip=exclaim>棚からぼたもち</tip>
<subtip>  給料を前払いする会社なんて見たことがない</subtip>","<main>  克莉斯娜还能骗我？</main>
<add><color=#FF0000>我要结算</color></add>
<subtip>  结算哩（额外获得400养老金）</subtip>","<main>  Would Krisna still lie to me?</main>
<add><color=#FF0000>I want to settle</color></add>
<subtip>  Settle now</subtip>","<main>  クリスナが私を騙すはずがない</main>
<add><color=#FF0000>精算する</color></add>
<subtip>  精算する（追加で年金400を獲得）</subtip>","<main>  克莉斯娜肯定在骗我</main>
<add></add>
<subtip>  获得祝福""法师"",结束事件</subtip>","<main>  Krisna must be lying to me</main>
<add></add>
<subtip>  Obtain the blessing ""Mage"" to end the event</subtip>","<main>  クリスナはきっと私を騙している</main>
<add></add>
<subtip>  祝福「魔術師」を獲得し、イベントを終了する</subtip>","<main>  坏女人。</main>
<add></add>
<subtip>  </subtip>","<main>  Bad woman.</main>
<add></add>
<subtip>  </subtip>","<main>  悪い女。</main>
<add></add>
<subtip>  </subtip>",,,,,,
*16,,试炼,试炼,试炼,"<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main>  参与试炼</main>
<add>中！</add>
<subtip>  获得祝福""巫妖""</subtip>","<main>  参与试炼</main>
<add>中！</add>
<subtip>  获得祝福""巫妖""</subtip>","<main>  参与试炼</main>
<add>中！</add>
<subtip>  获得祝福""巫妖""</subtip>","<main>  拒绝</main>
<add>中！</add>
<subtip>  平安离开</subtip>",,,,,,,,,,,
*17,,强化生命,试炼,试炼,"<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main>  回复血量</main>
<add>中！</add>
<subtip>  将血量恢复满</subtip>","<main>  回复血量</main>
<add>中！</add>
<subtip>  将血量恢复满</subtip>","<main>  回复血量</main>
<add>中！</add>
<subtip>  将血量恢复满</subtip>","<main>  生命升华</main>
<add>中！</add>
<subtip>  获得20点生命值上限</subtip>",,,,,,,,,,,
*18,,乐园运营,试炼,试炼,"<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main>  花费20金币启动机器</main>
<add>中！</add>
<subtip>  20%概率获得遗物，40%概率获得卡牌</subtip>","<main>  花费20金币启动机器</main>
<add>中！</add>
<subtip>  20%概率获得遗物，40%概率获得卡牌</subtip>","<main>  花费20金币启动机器</main>
<add>中！</add>
<subtip>  20%概率获得遗物，40%概率获得卡牌</subtip>","<main>  不投了</main>
<add>中！</add>
<subtip>  结束事件</subtip>",,,,,,,,,"<good>  遗物！</good>
<Normal>卡牌</Normal>
<bad>  一无所有</bad>","<good>  遗物！</good>
<Normal>卡牌</Normal>
<bad>  一无所有</bad>","<good>  遗物！</good>
<Normal>卡牌</Normal>
<bad>  一无所有</bad>"
*19,,迷途天使,试炼,试炼,"<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main>  给她画张地图</main>
<add>中！</add>
<subtip>  获得遗物""可可的勾线笔""</subtip>","<main>  给她画张地图</main>
<add>中！</add>
<subtip>  获得遗物""可可的勾线笔""</subtip>","<main>  给她画张地图</main>
<add>中！</add>
<subtip>  获得遗物""可可的勾线笔""</subtip>","<main>  帮助她找到回家的路</main>
<add>中！</add>
<subtip> 获得遗物""迷途天使之环""</subtip>",,,,,,,,,,,
*20,,四象祝福,试炼,试炼,"<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main> 未完成的试炼</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main>  参与魔力试炼</main>
<add>中！</add>
<subtip>  获得祝福""恐虐""</subtip>",,,"<main>  参与精神试炼</main>
<add>中！</add>
<subtip>  获得祝福""奸奇""</subtip>",,,"<main>  参与幸运试炼</main>
<add>中！</add>
<subtip>  获得祝福""纳垢""</subtip>",,,"<main>  参与感知试炼</main>
<add>中！</add>
<subtip>  获得祝福""色孽""</subtip>",,,,,